1,2,3,4,5,6
-190.000,-123.000,-56.000,-55.000,-46.000,-39.000
68.000,92.000,34.000,48.000,51.000,29.000
-73.000,-91.000,-36.000,-65.000,-25.000,-51.000
140.000,143.000,49.000,48.000,31.000,28.000
-200.000,-216.000,-57.000,-69.000,-39.000,-56.000
276.000,175.000,67.000,75.000,65.000,59.000
-321.000,-238.000,-110.000,-102.000,-75.000,-55.000
113.000,163.000,42.000,52.000,38.000,35.000
-103.000,-238.000,-39.000,-85.000,-28.000,-57.000
123.000,173.000,46.000,71.000,26.000,44.000
-143.000,-108.000,-57.000,-69.000,-37.000,-37.000
113.000,179.000,36.000,66.000,28.000,30.000
-239.000,-128.000,-85.000,-137.000,-38.000,-60.000
146.000,195.000,57.000,73.000,37.000,36.000
-136.000,-179.000,-66.000,-74.000,-58.000,-49.000
156.000,192.000,64.000,72.000,44.000,40.000
-180.000,-1077.000,-248.000,-405.000,-29.000,-401.000
666.000,3664.000,927.000,134.000,97.000,100.000
-612.000,-4079.000,-800.000,-173.000,-134.000,-104.000
179.000,2981.000,275.000,434.000,45.000,349.000
-149.000,-233.000,-267.000,-58.000,-35.000,-42.000
130.000,89.000,51.000,42.000,35.000,40.000
-87.000,-175.000,-57.000,-84.000,-34.000,-40.000
119.000,189.000,47.000,87.000,83.000,56.000
-223.000,-260.000,-155.000,-220.000,-69.000,-73.000
146.000,128.000,82.000,62.000,87.000,57.000
-125.000,-172.000,-64.000,-76.000,-49.000,-42.000
126.000,156.000,58.000,114.000,37.000,48.000
-107.000,-172.000,-40.000,-64.000,-29.000,-40.000
149.000,176.000,48.000,67.000,27.000,29.000
-148.000,-165.000,-215.000,-202.000,-93.000,-95.000
186.000,238.000,136.000,184.000,41.000,46.000
-142.000,-196.000,-67.000,-136.000,-31.000,-39.000
143.000,210.000,49.000,72.000,35.000,36.000
-69.000,-65.000,-33.000,-54.000,-29.000,-42.000
38.000,47.000,61.000,39.000,43.000,34.000
-27.000,-57.000,-20.000,-46.000,-19.000,-34.000
33.000,35.000,32.000,27.000,26.000,23.000
-81.000,-105.000,-35.000,-46.000,-32.000,-44.000
72.000,64.000,39.000,29.000,30.000,29.000
-96.000,-123.000,-53.000,-66.000,-24.000,-41.000
145.000,196.000,56.000,61.000,29.000,30.000
-72.000,-132.000,-43.000,-74.000,-22.000,-48.000
114.000,153.000,36.000,56.000,33.000,28.000
-102.000,-121.000,-46.000,-56.000,-23.000,-45.000
130.000,236.000,44.000,99.000,42.000,56.000
-201.000,-191.000,-76.000,-98.000,-42.000,-71.000
199.000,211.000,75.000,88.000,53.000,62.000
-125.000,-126.000,-53.000,-66.000,-34.000,-54.000
185.000,229.000,76.000,86.000,50.000,50.000
-201.000,-243.000,-120.000,-193.000,-39.000,-67.000
160.000,164.000,92.000,146.000,31.000,59.000
-90.000,-69.000,-45.000,-48.000,-33.000,-36.000
130.000,133.000,47.000,44.000,27.000,21.000
-78.000,-111.000,-29.000,-57.000,-30.000,-36.000
138.000,149.000,58.000,59.000,31.000,30.000
-69.000,-89.000,-36.000,-53.000,-27.000,-40.000
99.000,142.000,30.000,48.000,23.000,24.000
-72.000,-115.000,-36.000,-57.000,-26.000,-38.000
176.000,188.000,70.000,62.000,28.000,30.000
-114.000,-104.000,-39.000,-52.000,-25.000,-49.000
