1,2,3,4,5,6
3.160,14.390,1.485,1.830,-1.885,-2.465
17.475,-18.545,5.930,-13.985,18.665,2.160
-23.670,-27.060,-6.690,4.495,7.895,21.230
-14.775,21.050,-5.285,8.295,-32.390,-14.750
16.795,18.800,4.355,10.150,-13.825,-12.430
-34.690,-51.450,-27.605,-39.750,-19.130,-20.965
63.405,46.765,38.515,28.030,25.675,7.895
-29.955,1.325,-10.920,-2.380,8.295,8.590
8.300,2.755,0.750,-0.745,4.850,5.080
-0.165,-24.785,5.645,-3.135,7.760,4.460
8.655,27.160,-3.015,-2.590,-2.090,3.445
-21.000,-44.175,0.640,1.980,1.775,-2.315
3.010,29.950,-4.690,11.130,-6.860,-1.510
14.755,3.115,3.505,0.640,1.095,1.620
4.770,6.725,2.075,0.995,1.175,1.115
-21.640,-35.325,-2.260,-22.925,0.400,-4.665
34.610,50.240,8.050,22.135,0.530,7.570
-58.260,-63.140,-21.360,-22.430,-6.835,-8.910
19.410,39.050,8.410,15.140,0.155,2.090
26.445,-0.285,9.390,-0.870,4.095,-1.260
-12.095,-2.170,-2.990,0.115,0.110,0.835
-4.435,6.315,-3.195,1.715,-2.485,0.430
9.575,-14.195,2.110,-5.950,2.085,-0.825
-2.540,4.835,0.015,4.530,-0.335,1.235
15.285,4.810,4.565,-0.295,0.910,-1.410
-13.540,7.500,-6.880,-0.220,-3.175,-0.135
-25.270,-18.715,-3.135,-0.540,0.735,1.880
17.730,16.825,3.290,3.310,-1.000,-0.275
6.620,2.610,1.250,-0.480,1.350,1.080
-0.560,5.960,-0.770,-0.300,-0.425,-0.945
26.500,-4.940,8.320,-1.240,3.125,-2.325
-38.205,-35.030,-11.590,-9.785,-3.630,-3.060
-14.785,21.740,-6.005,10.020,-2.380,9.790
89.810,44.980,33.515,11.240,12.345,-2.015
-62.805,-63.095,-24.250,-25.230,-1.835,-6.935
-38.270,1.830,-8.015,11.060,9.595,14.020
6.290,-0.510,1.220,-1.610,-2.845,2.155
8.980,2.575,3.610,2.330,-12.630,-5.805
18.350,1.365,-20.430,-16.230,-34.220,-27.945
31.035,46.760,43.990,35.230,17.775,12.440
-33.630,-15.560,-16.360,-12.670,6.655,3.230
-5.465,-17.575,-9.010,-12.380,4.760,-0.920
12.785,-3.325,7.655,11.620,6.465,7.390
16.030,16.655,4.450,4.325,5.100,4.900
