1,2,3,4,5,6
-114.000,-105.000,-128.000,-98.000,-116.000,-81.000
95.000,77.000,88.000,125.000,92.000,80.000
-316.000,-358.000,-719.000,-160.000,-572.000,-1410.000
174.000,344.000,328.000,322.000,325.000,574.000
-54.000,-72.000,-52.000,-47.000,-57.000,-42.000
68.000,81.000,48.000,49.000,46.000,39.000
-84.000,-79.000,-89.000,-63.000,-60.000,-54.000
73.000,90.000,70.000,86.000,50.000,65.000
-87.000,-86.000,-136.000,-121.000,-49.000,-47.000
89.000,71.000,118.000,78.000,66.000,41.000
-57.000,-76.000,-46.000,-72.000,-48.000,-69.000
70.000,92.000,52.000,81.000,50.000,80.000
-3676.000,-77.000,-3687.000,-57.000,-3687.000,-70.000
4255.000,58.000,4258.000,48.000,4258.000,63.000
-3692.000,-95.000,-3709.000,-79.000,-3698.000,-76.000
4074.000,74.000,4074.000,55.000,4084.000,80.000
-67.000,-68.000,-66.000,-64.000,-173.000,-407.000
73.000,85.000,84.000,94.000,208.000,570.000
-63.000,-57.000,-54.000,-44.000,-50.000,-64.000
70.000,53.000,51.000,46.000,56.000,62.000
-125.000,-40.000,-126.000,-73.000,-125.000,-57.000
141.000,50.000,116.000,69.000,134.000,55.000
-50.000,-76.000,-46.000,-41.000,-59.000,-66.000
50.000,82.000,56.000,56.000,50.000,62.000
-35.000,-48.000,-32.000,-37.000,-51.000,-70.000
50.000,34.000,40.000,28.000,44.000,60.000
-40.000,-39.000,-36.000,-38.000,-61.000,-64.000
42.000,34.000,29.000,34.000,47.000,52.000
-24.000,-48.000,-25.000,-42.000,-49.000,-61.000
30.000,40.000,30.000,35.000,44.000,58.000
-104.000,-39.000,-107.000,-46.000,-109.000,-57.000
74.000,42.000,86.000,58.000,96.000,45.000
-28.000,-37.000,-33.000,-36.000,-57.000,-58.000
24.000,31.000,32.000,30.000,49.000,51.000
-70.000,-65.000,-56.000,-46.000,-55.000,-65.000
63.000,45.000,58.000,43.000,76.000,67.000
-141.000,-95.000,-159.000,-96.000,-304.000,-275.000
113.000,67.000,207.000,73.000,290.000,542.000
-58.000,-70.000,-48.000,-100.000,-51.000,-88.000
48.000,49.000,49.000,84.000,47.000,65.000
-149.000,-53.000,-133.000,-56.000,-94.000,-92.000
109.000,62.000,126.000,61.000,164.000,71.000
-52.000,-46.000,-64.000,-79.000,-53.000,-54.000
53.000,76.000,56.000,58.000,49.000,57.000
-29.000,-41.000,-30.000,-37.000,-56.000,-60.000
30.000,25.000,28.000,27.000,51.000,65.000
-45.000,-60.000,-47.000,-70.000,-51.000,-91.000
50.000,120.000,56.000,128.000,53.000,109.000
-65.000,-127.000,-146.000,-127.000,-259.000,-124.000
81.000,74.000,134.000,81.000,193.000,114.000
-37.000,-49.000,-43.000,-47.000,-54.000,-76.000
29.000,31.000,36.000,33.000,40.000,68.000
-60.000,-47.000,-61.000,-91.000,-59.000,-52.000
39.000,55.000,39.000,100.000,45.000,31.000
-31.000,-40.000,-33.000,-43.000,-32.000,-32.000
30.000,36.000,30.000,34.000,30.000,29.000
-42.000,-53.000,-66.000,-63.000,-39.000,-43.000
52.000,73.000,66.000,82.000,39.000,45.000
-31.000,-46.000,-33.000,-55.000,-31.000,-38.000
45.000,87.000,64.000,84.000,48.000,34.000
-32.000,-43.000,-53.000,-56.000,-35.000,-35.000
35.000,56.000,40.000,60.000,39.000,54.000
-68.000,-59.000,-62.000,-52.000,-37.000,-36.000
50.000,70.000,64.000,80.000,41.000,41.000
-77.000,-68.000,-69.000,-92.000,-37.000,-47.000
