1,2,3,4,5,6
-68.000,-56.000,-167.000,-27.000,-32.000,-22.000
93.000,47.000,89.000,23.000,30.000,22.000
-135.000,-181.000,-4149.000,-522.000,-54.000,-466.000
106.000,255.000,3197.000,309.000,81.000,267.000
-52.000,-57.000,-30.000,-30.000,-25.000,-28.000
74.000,85.000,74.000,35.000,45.000,36.000
-145.000,-146.000,-82.000,-76.000,-62.000,-55.000
172.000,178.000,125.000,107.000,79.000,85.000
-84.000,-109.000,-72.000,-85.000,-49.000,-66.000
122.000,175.000,99.000,125.000,75.000,80.000
-32.000,-29.000,-20.000,-20.000,-22.000,-22.000
62.000,57.000,25.000,25.000,21.000,22.000
-252.000,-213.000,-134.000,-212.000,-144.000,-197.000
258.000,316.000,178.000,202.000,143.000,181.000
-130.000,-166.000,-110.000,-165.000,-102.000,-163.000
224.000,282.000,149.000,183.000,136.000,186.000
-65.000,-67.000,-41.000,-40.000,-41.000,-49.000
53.000,59.000,37.000,37.000,33.000,51.000
-68.000,-145.000,-64.000,-115.000,-53.000,-97.000
110.000,110.000,93.000,185.000,72.000,170.000
-120.000,-125.000,-90.000,-96.000,-61.000,-74.000
177.000,191.000,134.000,106.000,79.000,66.000
-33.000,-42.000,-25.000,-28.000,-26.000,-27.000
33.000,40.000,24.000,37.000,25.000,35.000
-21.000,-33.000,-23.000,-35.000,-25.000,-35.000
30.000,36.000,22.000,31.000,22.000,33.000
-103.000,-144.000,-68.000,-89.000,-53.000,-53.000
201.000,193.000,128.000,139.000,88.000,104.000
-27.000,-36.000,-22.000,-30.000,-23.000,-31.000
28.000,39.000,27.000,30.000,25.000,30.000
-24.000,-35.000,-24.000,-30.000,-24.000,-32.000
29.000,48.000,26.000,35.000,28.000,33.000
-218.000,-159.000,-209.000,-147.000,-193.000,-209.000
151.000,169.000,148.000,168.000,203.000,203.000
-32.000,-35.000,-24.000,-33.000,-27.000,-33.000
36.000,29.000,32.000,30.000,32.000,30.000
-86.000,-102.000,-85.000,-74.000,-64.000,-70.000
199.000,185.000,125.000,120.000,81.000,89.000
-28.000,-27.000,-21.000,-28.000,-22.000,-31.000
33.000,25.000,29.000,25.000,26.000,30.000
-71.000,-102.000,-54.000,-53.000,-41.000,-46.000
197.000,252.000,174.000,163.000,122.000,124.000
-111.000,-144.000,-77.000,-83.000,-67.000,-64.000
242.000,337.000,185.000,200.000,129.000,146.000
-201.000,-349.000,-633.000,-265.000,-345.000,-235.000
173.000,249.000,863.000,200.000,365.000,234.000
-83.000,-91.000,-62.000,-55.000,-47.000,-43.000
130.000,169.000,101.000,120.000,76.000,92.000
-40.000,-33.000,-38.000,-33.000,-36.000,-34.000
43.000,36.000,42.000,47.000,41.000,45.000
-44.000,-41.000,-32.000,-35.000,-35.000,-34.000
46.000,44.000,42.000,36.000,45.000,35.000
-43.000,-41.000,-41.000,-36.000,-40.000,-36.000
63.000,68.000,50.000,58.000,43.000,44.000
-33.000,-37.000,-34.000,-33.000,-34.000,-35.000
33.000,38.000,35.000,37.000,38.000,35.000
-85.000,-76.000,-45.000,-41.000,-40.000,-35.000
82.000,117.000,64.000,68.000,50.000,48.000
-50.000,-44.000,-40.000,-38.000,-39.000,-34.000
60.000,52.000,49.000,43.000,45.000,39.000
-96.000,-120.000,-68.000,-69.000,-53.000,-49.000
118.000,184.000,113.000,133.000,80.000,94.000
-96.000,-150.000,-89.000,-81.000,-73.000,-82.000
129.000,213.000,102.000,111.000,92.000,76.000
-41.000,-44.000,-37.000,-34.000,-35.000,-33.000
48.000,45.000,44.000,46.000,45.000,43.000
-47.000,-50.000,-45.000,-48.000,-39.000,-42.000
49.000,48.000,54.000,45.000,51.000,44.000
-70.000,-56.000,-56.000,-52.000,-41.000,-48.000
62.000,69.000,50.000,53.000,51.000,47.000
-68.000,-91.000,-47.000,-51.000,-42.000,-35.000
90.000,135.000,67.000,125.000,51.000,77.000
-39.000,-45.000,-37.000,-35.000,-34.000,-33.000
46.000,41.000,42.000,32.000,42.000,30.000
-38.000,-41.000,-30.000,-37.000,-30.000,-37.000
44.000,44.000,40.000,33.000,35.000,33.000
-39.000,-55.000,-31.000,-35.000,-30.000,-34.000
40.000,43.000,35.000,33.000,39.000,32.000
-57.000,-73.000,-45.000,-42.000,-37.000,-35.000
67.000,149.000,71.000,100.000,47.000,75.000
-34.000,-37.000,-43.000,-32.000,-38.000,-29.000
43.000,34.000,35.000,38.000,31.000,32.000
-39.000,-52.000,-58.000,-39.000,-58.000,-39.000
52.000,60.000,50.000,44.000,43.000,42.000
-158.000,-224.000,-154.000,-156.000,-115.000,-93.000
212.000,364.000,173.000,233.000,130.000,133.000
-48.000,-80.000,-40.000,-53.000,-33.000,-32.000
91.000,145.000,88.000,124.000,73.000,81.000
-72.000,-91.000,-68.000,-55.000,-51.000,-35.000
114.000,170.000,92.000,127.000,65.000,74.000
-48.000,-116.000,-71.000,-62.000,-56.000,-49.000
31.000,48.000,44.000,45.000,41.000,37.000
-31.000,-37.000,-31.000,-33.000,-29.000,-31.000
29.000,38.000,32.000,27.000,31.000,27.000
-45.000,-43.000,-38.000,-46.000,-33.000,-43.000
34.000,31.000,36.000,33.000,41.000,35.000
-85.000,-93.000,-97.000,-67.000,-77.000,-62.000
61.000,56.000,87.000,60.000,74.000,54.000
-53.000,-58.000,-40.000,-56.000,-44.000,-46.000
44.000,41.000,35.000,40.000,36.000,43.000
-51.000,-49.000,-56.000,-46.000,-58.000,-46.000
39.000,32.000,67.000,49.000,58.000,42.000
-91.000,-106.000,-75.000,-118.000,-77.000,-114.000
51.000,87.000,75.000,102.000,61.000,86.000
-96.000,-128.000,-97.000,-126.000,-78.000,-109.000
122.000,153.000,106.000,115.000,85.000,84.000
-63.000,-55.000,-49.000,-59.000,-40.000,-53.000
62.000,51.000,57.000,53.000,43.000,52.000
-79.000,-72.000,-64.000,-51.000,-44.000,-42.000
56.000,51.000,52.000,53.000,44.000,48.000
-78.000,-61.000,-60.000,-60.000,-69.000,-60.000
50.000,55.000,57.000,49.000,48.000,42.000
-50.000,-57.000,-47.000,-54.000,-39.000,-51.000
54.000,46.000,45.000,45.000,43.000,43.000
-63.000,-118.000,-61.000,-108.000,-73.000,-99.000
72.000,85.000,64.000,85.000,62.000,81.000
-70.000,-112.000,-58.000,-79.000,-55.000,-70.000
69.000,66.000,56.000,63.000,53.000,52.000
-48.000,-72.000,-59.000,-47.000,-78.000,-44.000
53.000,54.000,50.000,48.000,49.000,50.000
-102.000,-85.000,-87.000,-98.000,-92.000,-96.000
67.000,58.000,79.000,84.000,86.000,87.000
-68.000,-72.000,-70.000,-69.000,-66.000,-65.000
60.000,90.000,73.000,105.000,59.000,90.000
-72.000,-76.000,-112.000,-123.000,-101.000,-96.000
66.000,84.000,73.000,98.000,75.000,101.000
-48.000,-65.000,-39.000,-52.000,-48.000,-61.000
50.000,59.000,43.000,57.000,43.000,52.000
-130.000,-103.000,-123.000,-93.000,-100.000,-88.000
68.000,66.000,78.000,99.000,97.000,106.000
-66.000,-104.000,-65.000,-111.000,-67.000,-85.000
83.000,71.000,72.000,76.000,67.000,75.000
-114.000,-89.000,-74.000,-99.000,-61.000,-90.000
67.000,79.000,88.000,67.000,78.000,69.000
-77.000,-72.000,-55.000,-79.000,-50.000,-70.000
68.000,73.000,66.000,78.000,58.000,71.000
-68.000,-58.000,-66.000,-72.000,-65.000,-74.000
63.000,58.000,53.000,56.000,57.000,50.000
-101.000,-87.000,-110.000,-127.000,-103.000,-121.000
94.000,67.000,76.000,79.000,74.000,88.000
-125.000,-72.000,-95.000,-85.000,-99.000,-77.000
93.000,72.000,111.000,102.000,102.000,98.000
-90.000,-61.000,-75.000,-70.000,-81.000,-74.000
73.000,49.000,71.000,54.000,57.000,65.000
-89.000,-107.000,-90.000,-92.000,-87.000,-87.000
76.000,89.000,76.000,75.000,94.000,82.000
-76.000,-76.000,-75.000,-48.000,-71.000,-51.000
46.000,73.000,52.000,67.000,64.000,65.000
-87.000,-90.000,-75.000,-85.000,-73.000,-107.000
79.000,77.000,77.000,97.000,74.000,94.000
-102.000,-85.000,-86.000,-78.000,-76.000,-81.000
102.000,60.000,95.000,47.000,81.000,50.000
-79.000,-88.000,-93.000,-99.000,-113.000,-112.000
81.000,66.000,88.000,91.000,84.000,90.000
-84.000,-98.000,-77.000,-87.000,-51.000,-68.000
81.000,93.000,70.000,77.000,68.000,71.000
-94.000,-125.000,-84.000,-70.000,-75.000,-75.000
61.000,82.000,75.000,58.000,59.000,60.000
-64.000,-74.000,-60.000,-79.000,-69.000,-89.000
65.000,69.000,55.000,76.000,56.000,76.000
-113.000,-100.000,-95.000,-83.000,-71.000,-91.000
67.000,65.000,69.000,71.000,65.000,72.000
-87.000,-96.000,-80.000,-78.000,-67.000,-70.000
68.000,71.000,65.000,59.000,67.000,63.000
-110.000,-77.000,-88.000,-109.000,-99.000,-136.000
77.000,77.000,64.000,73.000,73.000,72.000
-81.000,-77.000,-84.000,-78.000,-66.000,-77.000
75.000,67.000,72.000,78.000,67.000,66.000
-103.000,-123.000,-73.000,-84.000,-72.000,-96.000
77.000,67.000,60.000,62.000,64.000,71.000
-94.000,-109.000,-76.000,-90.000,-72.000,-85.000
61.000,68.000,66.000,84.000,67.000,74.000
-122.000,-79.000,-116.000,-90.000,-85.000,-77.000
109.000,74.000,97.000,83.000,86.000,66.000
-119.000,-100.000,-119.000,-110.000,-114.000,-115.000
76.000,69.000,102.000,86.000,86.000,80.000
-85.000,-92.000,-68.000,-106.000,-84.000,-98.000
64.000,80.000,60.000,61.000,74.000,73.000
-183.000,-109.000,-115.000,-93.000,-157.000,-129.000
124.000,96.000,187.000,87.000,167.000,80.000
-61.000,-68.000,-48.000,-50.000,-50.000,-52.000
69.000,60.000,51.000,44.000,44.000,48.000
-102.000,-109.000,-80.000,-85.000,-94.000,-69.000
