1,2,3,4,5,6
-190.000,-123.000,-56.000,-55.000,-46.000,-38.000
0.000,0.000,0.000,0.000,2.000,15.000
-44.000,-39.000,-24.000,-33.000,-15.000,-26.000
44.000,34.000,33.000,20.000,21.000,18.000
0.000,-50.000,-21.000,-37.000,-15.000,-36.000
60.000,30.000,31.000,32.000,30.000,23.000
-70.000,-115.000,-24.000,-37.000,-18.000,-26.000
15.000,27.000,9.000,21.000,13.000,18.000
-71.000,-107.000,-28.000,-30.000,-14.000,-28.000
62.000,60.000,34.000,27.000,25.000,19.000
0.000,-2.000,-4.000,-25.000,-9.000,-26.000
50.000,55.000,20.000,28.000,19.000,19.000
-56.000,-111.000,-33.000,-54.000,-29.000,-36.000
60.000,92.000,13.000,37.000,16.000,26.000
-39.000,-83.000,-13.000,-34.000,-13.000,-24.000
68.000,33.000,25.000,21.000,22.000,11.000
-84.000,-20.000,-21.000,-26.000,-17.000,-28.000
29.000,50.000,29.000,48.000,11.000,29.000
-22.000,-62.000,-31.000,-54.000,-27.000,-39.000
63.000,17.000,31.000,24.000,51.000,28.000
-61.000,-16.000,-26.000,-24.000,-21.000,-28.000
1.000,47.000,22.000,31.000,14.000,27.000
-23.000,-61.000,-13.000,-41.000,-16.000,-30.000
140.000,143.000,49.000,43.000,24.000,20.000
-45.000,-91.000,-27.000,-30.000,-20.000,-29.000
26.000,14.000,34.000,17.000,31.000,14.000
-22.000,-41.000,-22.000,-43.000,-19.000,-34.000
24.000,32.000,19.000,27.000,10.000,19.000
-22.000,-12.000,-14.000,-17.000,-8.000,-13.000
14.000,45.000,19.000,28.000,25.000,28.000
-22.000,-46.000,-24.000,-37.000,-20.000,-35.000
24.000,12.000,20.000,12.000,16.000,16.000
-73.000,-64.000,-36.000,-65.000,-25.000,-51.000
68.000,141.000,24.000,42.000,18.000,28.000
-55.000,-67.000,-23.000,-37.000,-15.000,-33.000
29.000,20.000,25.000,22.000,28.000,15.000
-1.000,-30.000,-14.000,-27.000,-12.000,-25.000
30.000,20.000,20.000,18.000,22.000,15.000
-40.000,-48.000,-21.000,-44.000,-15.000,-31.000
84.000,107.000,35.000,48.000,25.000,27.000
-45.000,-37.000,-41.000,-40.000,-39.000,-37.000
10.000,29.000,20.000,24.000,31.000,25.000
-52.000,-148.000,-28.000,-64.000,-15.000,-41.000
129.000,87.000,43.000,26.000,18.000,15.000
-18.000,-1.000,-23.000,-22.000,-13.000,-19.000
13.000,53.000,14.000,38.000,20.000,30.000
-96.000,-118.000,-37.000,-45.000,-14.000,-26.000
130.000,109.000,44.000,41.000,26.000,18.000
-74.000,-100.000,-30.000,-41.000,-18.000,-28.000
14.000,45.000,12.000,24.000,22.000,16.000
-6.000,-35.000,-13.000,-40.000,-12.000,-26.000
36.000,22.000,16.000,16.000,18.000,21.000
-19.000,-43.000,-18.000,-35.000,-15.000,-37.000
27.000,13.000,20.000,14.000,22.000,14.000
-159.000,-216.000,-51.000,-69.000,-25.000,-36.000
117.000,174.000,54.000,58.000,31.000,29.000
-200.000,-210.000,-57.000,-69.000,-37.000,-56.000
276.000,175.000,67.000,75.000,65.000,59.000
-51.000,-130.000,-34.000,-45.000,-33.000,-38.000
267.000,162.000,66.000,64.000,63.000,57.000
-321.000,-238.000,-110.000,-102.000,-75.000,-55.000
0.000,86.000,17.000,34.000,8.000,34.000
-48.000,-57.000,-19.000,-38.000,-9.000,-17.000
97.000,163.000,42.000,52.000,38.000,35.000
0.000,-19.000,-18.000,-35.000,-18.000,-33.000
113.000,116.000,41.000,47.000,30.000,25.000
-26.000,-99.000,-23.000,-56.000,-12.000,-45.000
71.000,53.000,35.000,23.000,24.000,20.000
-126.000,-101.000,-44.000,-37.000,-23.000,-26.000
20.000,14.000,14.000,15.000,22.000,23.000
-121.000,-95.000,-47.000,-37.000,-36.000,-31.000
