probability
0.3808
0.4638
0.5266
0.8735
0.3703
0.6040
0.4632
0.6864
0.4695
0.7307
0.9079
0.9326
0.9824
0.7723
0.9615
0.8115
0.7828
0.8514
0.7428
0.7865
0.8226
0.6653
0.8692
0.8672
0.8712
0.6666
0.8135
0.7809
0.9749
0.9428
0.6965
0.6156
0.6423
0.6111
0.4778
0.8856
0.4161
0.4471
0.7994
0.8365
0.4562
0.4622
0.6881
0.7990
0.7930
0.6494
0.4728
0.8746
0.4970
0.4194
0.6687
0.5812
0.5705
0.5910
0.4510
0.3985
0.9478
0.5806
0.9388
0.8145
0.8762
0.7831
0.8701
0.8903
0.9350
0.9298
0.8176
0.8699
0.9410
0.9033
0.9045
0.9279
0.8904
0.7970
0.7373
0.6367
0.4963
0.6233
0.6821
0.6647
0.6549
0.4943
0.8887
0.9251
0.8739
0.8006
0.9538
0.9853
0.8039
0.8903
0.8500
0.9401
0.9853
0.8150
0.9582
0.9608
0.9679
0.9606
0.9828
0.9721
0.9338
0.9580
0.9873
0.9702
0.9537
0.9552
0.9955
0.9813
0.9876
0.9930
0.9878
0.9847
0.9499
0.9630
0.9882
0.9800
0.9865
0.9806
0.9813
0.9924
0.9832
0.9881
0.9918
0.9883
0.9898
0.9953
0.9809
0.9801
0.9828
0.9906
0.9873
0.9941
0.9916
0.9939
0.9891
0.9938
0.9966
0.9894
0.9959
0.9912
0.9862
0.9940
0.9946
0.9908
0.9827
0.9967
0.9955
0.5059
0.7708
0.4964
0.8167
0.9321
0.7158
0.6590
0.6869
0.6398
0.6342
0.5163
0.5652
0.7491
0.6421
0.8494
0.9208
0.8671
0.5484
0.8709
0.8425
0.9273
0.8979
0.8344
0.8455
0.8050
0.5214
0.5733
0.3306
0.4629
0.7292
0.6263
0.8511
0.7143
0.8224
0.5480
0.4111
0.5066
0.5162
0.6485
0.5828
0.8412
0.8704
0.8109
0.8555
0.9156
0.9570
0.9506
0.7656
0.9259
0.9005
0.9064
0.8901
0.9544
0.8736
0.9386
0.7377
0.9286
0.8671
0.8151
0.3724
0.9727
0.8626
0.5027
0.5942
0.9264
0.5521
0.4420
0.5898
0.9050
0.9357
0.8578
0.7500
0.9138
0.7619
0.9117
0.9556
0.7482
0.9011
0.8964
0.8012
0.8209
0.7916
0.7064
0.7434
0.7658
0.5929
0.9026
0.7321
0.5394
0.6953
0.4137
0.9114
0.9292
0.5602
0.6267
0.6118
0.4428
0.5120
0.4388
0.5545
0.6561
0.8779
0.4161
0.5741
0.4928
0.4356
0.5389
0.3573
0.3651
0.8859
0.7162
0.7054
0.5386
0.6863
0.6710
0.5233
0.3846
0.4405
0.4563
0.4288
0.6342
0.4278
0.4757
0.9350
0.9427
0.8722
0.8404
0.6508
0.8298
0.4506
0.7447
0.3569
0.6969
0.6712
0.8535
0.7807
0.5487
0.6068
0.6599
0.6361
0.4841
0.4451
0.4857
0.4631
0.6064
0.5235
0.4236
0.4077
0.4021
0.4925
0.4847
0.8247
0.6270
0.8549
0.7735
0.8937
0.8602
0.8020
0.8808
0.6411
0.9054
0.5557
0.7494
0.7068
0.6396
0.5161
0.8659
0.8609
0.8921
0.9475
0.5631
0.8114
0.9159
0.4256
0.8635
0.9102
0.8880
0.8449
0.7249
0.8319
0.8484
0.9136
0.8256
0.9299
0.8739
0.8025
0.5984
0.8424
0.4086
0.7410
0.8216
0.8656
0.8066
0.9300
0.9119
0.9193
0.8696
0.8245
0.8899
0.8528
0.7730
0.6274
0.3552
0.9102
0.7680
0.7577
0.9086
0.8509
0.9151
0.8064
0.8616
0.7465
0.8351
0.8336
0.9176
0.8699
0.8131
0.6740
0.4528
0.5015
0.9640
0.9698
0.4353
0.5269
0.7429
0.8603
0.7115
0.6918
0.5073
0.8091
0.9079
0.4811
0.5359
0.4835
0.5367
0.6332
0.4572
0.8105
0.4280
0.5863
0.8064
0.5439
0.3730
0.5029
0.7632
0.8361
0.9316
0.9483
0.8113
0.9438
0.9158
0.7805
0.7216
0.9253
0.7564
0.9312
0.8969
0.8970
0.8486
0.8751
0.8139
0.9009
0.8728
0.8104
0.9219
0.8472
0.9331
0.9524
0.8529
0.8981
0.8277
0.9396
0.9524
0.8532
0.7717
0.8473
0.9322
0.8745
0.6273
0.6562
0.8971
0.5205
0.6028
0.9018
0.9016
0.7690
0.7114
0.6118
0.5568
0.5204
0.5841
0.5240
0.5469
0.8417
0.7519
0.8888
0.8795
0.9394
0.8482
0.9228
0.8741
0.9451
0.9570
0.9034
0.6098
0.6715
0.6977
0.4866
0.7599
0.7197
0.9091
0.9766
0.9657
0.9807
0.6228
0.7809
0.5290
0.3057
0.7472
0.7687
0.8083
0.9059
0.6022
0.4911
0.9239
0.9370
0.8820
0.8561
0.8797
0.9130
0.7996
0.8780
0.7273
0.9198
0.9473
0.9485
0.8796
0.8048
0.8887
0.9345
0.9388
0.9631
0.9356
0.9388
0.9637
0.8659
0.7973
0.3883
0.9200
0.3999
0.8998
0.9319
0.9647
0.9184
0.7769
0.7923
0.9235
0.8509
0.7447
0.5507
0.9038
0.7009
0.5797
0.4853
0.4934
0.5457
0.5019
0.7575
0.7575
0.8519
0.8646
0.9302
0.9470
0.7858
0.9475
0.9259
0.9472
0.9277
0.9712
0.9511
0.9410
0.9403
0.7804
0.6833
0.8613
0.7939
0.9026
0.8684
0.9272
0.9105
0.8169
0.8283
0.8291
0.6376
0.7994
0.9382
0.7250
0.9313
0.8975
0.5330
0.5853
0.6747
0.3613
0.4145
0.6882
0.8252
0.9233
0.8960
0.9014
0.8321
0.9493
0.9132
0.9017
0.8594
0.8886
0.8550
0.9322
0.8027
0.9335
0.9268
0.9276
0.7946
0.8952
0.8420
0.8684
0.7322
0.8721
0.9464
0.9132
0.7239
0.9344
0.8623
0.8293
0.8584
0.8592
0.9055
0.8090
0.9351
0.8835
0.8354
0.5352
0.8652
0.9045
0.6033
0.8924
0.9085
0.9136
0.9464
0.9402
0.8769
0.7601
0.8540
0.8946
0.8497
0.8689
0.7300
0.9059
0.8341
0.8940
0.8668
0.6698
0.7272
0.8024
0.7074
0.7884
0.9018
0.7523
0.6002
0.7297
0.7609
0.9418
0.8529
0.9523
0.7909
0.8422
0.9052
0.8055
0.8418
0.8428
0.7274
0.9281
0.9471
0.9323
0.9575
0.9430
0.7094
0.9764
0.9370
0.9732
0.9664
0.9673
0.9870
0.9839
0.9488
0.9873
0.9874
0.9537
0.9557
0.9749
0.9844
0.9737
0.9737
0.9856
